epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9219,0.96177,3.8799,1.32122,0.0303,0.04592,0.03374,0.03176,0.3235,4.0091,0.79291,6.672e-05,6.672e-05,6.672e-05
2,155.458,0.43838,3.57079,1.04998,0.04079,0.71867,0.13793,0.12282,0.25942,3.96665,0.6959,0.000132119,0.000132119,0.000132119
3,209.565,0.32661,3.19052,0.98472,0.01113,0.97143,0.15562,0.141,0.26696,3.6866,0.6705,0.000190363,0.000190363,0.000190363
4,264.515,0.26812,2.919,0.94322,1,0.04406,0.18997,0.17879,0.28776,3.47854,0.7072,0.000241451,0.000241451,0.000241451
5,319.28,0.25192,2.70755,0.93729,0.65044,0.17574,0.21264,0.19249,0.37596,3.33457,0.7609,0.000285384,0.000285384,0.000285384
6,371.456,0.25461,2.48264,0.91864,0.46469,0.39857,0.2967,0.28144,0.34925,2.64735,0.76421,0.00032216,0.00032216,0.00032216
7,426.391,0.25549,2.29662,0.92029,0.51448,0.36335,0.31369,0.28713,0.51905,2.63078,0.91421,0.000351781,0.000351781,0.000351781
8,480.97,0.25199,2.19834,0.94498,0.38458,0.51616,0.39635,0.38447,0.34424,2.45516,0.7432,0.000363346,0.000363346,0.000363346
9,535.63,0.22865,2.07199,0.91443,0.48656,0.4824,0.46591,0.45763,0.29419,2.23421,0.69415,0.000335824,0.000335824,0.000335824
10,591.421,0.22513,1.98173,0.91262,0.5726,0.46576,0.46011,0.45894,0.24384,2.27766,0.65587,0.000308302,0.000308302,0.000308302
11,646.664,0.28853,2.95293,0.99932,0.36103,0.54708,0.41785,0.4158,0.25403,2.37175,0.65062,0.00028078,0.00028078,0.00028078
12,702.205,0.20462,2.64706,0.91181,0.40512,0.6419,0.47437,0.46491,0.22721,2.31718,0.58803,0.000253258,0.000253258,0.000253258
13,755.708,0.21683,2.41782,0.93452,0.46646,0.66518,0.53354,0.52596,0.26696,2.38009,0.64389,0.000225736,0.000225736,0.000225736
14,809.047,0.20726,2.35716,0.89092,0.44552,0.57191,0.54715,0.54021,0.31479,2.06098,0.6492,0.000198214,0.000198214,0.000198214
15,864.726,0.19134,2.2774,0.88373,0.45134,0.60559,0.59834,0.59323,0.29064,1.85532,0.64115,0.000170692,0.000170692,0.000170692
16,918.918,0.18002,2.19725,0.88795,0.52071,0.64997,0.64035,0.63337,0.24997,1.71587,0.63656,0.00014317,0.00014317,0.00014317
17,974.648,0.17958,2.11121,0.8729,0.55603,0.69049,0.70339,0.699,0.23027,1.68811,0.61651,0.000115648,0.000115648,0.000115648
18,1031.16,0.15767,2.09551,0.88904,0.62754,0.67241,0.70995,0.70709,0.21208,1.70952,0.59917,8.8126e-05,8.8126e-05,8.8126e-05
19,1085.15,0.16195,2.10391,0.8674,0.59054,0.69893,0.70083,0.69793,0.21335,1.66422,0.60221,6.0604e-05,6.0604e-05,6.0604e-05
20,1140.57,0.15698,2.00258,0.86206,0.58791,0.73465,0.71065,0.70775,0.20654,1.60217,0.60123,3.3082e-05,3.3082e-05,3.3082e-05
